task,searchTarget,n_trials,model,loglik,aic,bic,param_v0,param_v_log_slope,param_B,param_nondectime,v16,v32,v64,param_a16,param_a32,param_a64
target present,illusory face,264.0,A,-373.04547015300244,754.0909403060049,768.3947367185901,2.8566379944494025,-0.48983376974137904,2.1233732054189542,0.12075108836796289,1.4985304086922573,1.1590035122529707,0.8194766158136848,,,
target present,illusory face,264.0,B,-371.84887323023173,755.6977464604635,777.1534410793414,2.5170376336944726,-0.3974844041757451,,0.10414188978036132,1.4149768574106028,1.1394616633396353,0.863946469268668,2.0457892989258664,2.0580971237596484,2.278488924917869
,,,,,,,,,,,,,,,,
target present,nonface object,256.0,A,-472.4304195758517,952.8608391517034,967.0415489296216,2.0811181369105944,-0.35161176680902806,2.395499200235254,0.12927278508330803,1.1062433176490796,0.8625246128337007,0.6188059080183219,,,
target present,nonface object,256.0,B,-471.9017482545982,955.8034965091964,977.0745611760738,1.9329326729915977,-0.30976076521883955,,0.1167178929328544,1.0740934687534784,0.8593836676939486,0.644673866634419,2.333720381072472,2.4130752224418,2.4862354081145033
,,,,,,,,,,,,,,,,
target absent,illusory face,296.0,A,-629.6181182388386,1267.2362364776773,1281.9976742949734,-0.7368000876115732,-1e-06,3.0,0.6124191384557321,-0.7368028602002955,-0.736803553347476,-0.7368042464946566,,,
target absent,illusory face,296.0,B,-623.6058037174932,1259.2116074349865,1281.353764160931,-0.700749392074204,-1e-06,,0.7160865809597285,-0.7007521646629262,-0.7007528578101068,-0.7007535509572873,2.499842560545852,3.0,3.0
,,,,,,,,,,,,,,,,
target absent,nonface object,256.0,A,-612.4198441740291,1232.8396883480582,1247.0203981259765,-0.5985963891403769,-1e-06,3.0,0.41854446841833254,-0.5985991617290992,-0.5985998548762798,-0.5986005480234603,,,
target absent,nonface object,256.0,B,-609.4678992435347,1230.9357984870694,1252.2068631539469,-0.5729395676517878,-1e-06,,0.4520011957441574,-0.57294234024051,-0.5729430333876906,-0.5729437265348711,2.613210832867236,3.0,3.0
